Metrica,Valor
Total Engagements (Mes Pasado),148
Total Nuevos Leads (Mes Pasado),3726

Pipeline Engagements,Valor
[SP] Sales,138
[SP] Value Partners & Wealth,10

Pais,Nuevos Leads (Multi-Checkbox)
Spain,2920
Ireland,181
Indonesia,458
Australia,75
Unknown,0

Deal Source Agrupada (Engagements),Valor
Paid online Marketing,75
Family and Friends,10
PR / Events / Organic,26
Partnerships,0
App,3
Ambassador,21
Outbound Sales,0
Influencers and MKT Ambassadors,0

Deal Type (Engagements),Valor
New,116
New - Multi,7
Repeat,11
Repeat - Multi,13

Original Traffic Source (Engagements),Valor
Organic Search,22
Paid Search,55
Email Marketing,0
Organic Social,2
Referrals,5
Other Campaigns,8
Direct Traffic,14
Offline Sources,21
Paid Social,21
AI Referrals,0
