"MARKETING & SALES DASHBOARD (US$, Global)",,,,,,,,,,,
,,,,,,,,,,,
"In US$, unless otherwise stated",Jan-25,Feb-25,Mar-25,Abr-25,May-25,Jun-25,Jul-25,Ago-25,Sep-25,Oct-25,Nov-25
--- 2LEADS - SPLIT PER CHANNEL ---,,,,,,,,,,,
# of new leads,3761,3325,4460,4196,3973,3486,3895,4248,3778,3726,3750
Target,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual
Paid online Marketing,2615,1976,2436,2669,2344,2168,2451,2990,2595,2615,2190
Meta - Paid Social,1997,1443,1694,1851,1566,1318,1691,2188,1757,1754,1213
Google - Paid Search,618,533,742,818,778,850,760,802,838,861,977
C2C referrals,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual
Family & friends,0,0,0,0,0,0,0,0,0,0,0
PR /Events / Organic,972,1187,1812,1367,1468,1148,1196,945,1003,982,1291
Marketing Influencers,0,0,0,0,0,0,1,0,1,0,0
Partnerships,1,0,0,0,2,0,1,2,1,0,2
App,49,4,2,6,5,5,2,2,5,3,2
Ambassadors,,,,,,,,,,,
Outbound,0,0,0,0,0,0,0,0,0,0,0
B2C referrals,0,0,0,0,0,0,0,0,0,0,0
Indonesia,427,249,187,221,278,325,427,676,392,460,429
Ireland,124,107,156,272,412,357,207,219,167,183,185
Wealth,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
--- 5ENGAGEMENTS - SPLIT PER CHANNEL ---,,,,,,,,,,,
# of new Engagements (Sales CONTEO),150.0,143.0,154.0,162.0,207.0,143.0,198.0,180.0,324.0,224.0,120.0
Deal Source (Closers + PC),150,143,154,162,207,127,168,147,296,141,87
Value Partner (SUMA DE VALOR),0.00,0.00,0.00,0.00,0.00,16.00,30.00,33.00,28.00,83.00,33.00
Paid Online Marketing,57,87,89,67,102,71,88,87,170,77,44
Meta,26,45,40,35,32,32,27,41,64,21,16
Google,31,42,49,32,70,39,61,46,106,56,28
C2C,12,24,19,19,28,20,24,9,47,12,11
Family and Friends,14,13,17,25,18,10,14,4,24,11,7
PR / Events / Organic,16,28,21,26,40,15,37,31,37,27,20
Marketing Influencers,0,0,0,0,0,0,1,0,1,0,0
Partnerships,1,0,0,0,2,0,1,2,1,0,2
App,49,4,2,6,5,5,2,2,5,3,2
Ambassador,9,8,18,49,24,29,39,41,69,21,19
Outbound Sales,0,0,0,1,26,0,0,0,0,0,0
,,,,,,,,,,,
--- 6Deal Type ---,,,,,,,,,,,
New,67,114,133,125,164,105,144,128,218,119,73
New Multi,0,0,0,5,16,12,8,15,21,7,7
Repeat,83,28,21,10,24,11,19,5,38,11,8
Repeat Multi,0,1,0,22,3,1,0,0,19,13,1
